page_name,google_results_count
Adrian Willaert,21_800
Alessandro Scarlatti,67_600
Alexander Agricola,6_880
Alfred Schnittke,62_200
Antoine Busnoys,13_900
Anton Bruckner,137_000
Antonio Salieri,91_200
Antonio Soler,19_500
Antonín Dvořák,378_000
Arcangelo Corelli,69_400
Arnold Schoenberg,243_000
Bedrich Smetana,61_300
Benjamin Britten,397_000
Béla Bartók,345_000
Camille Saint-Saëns,355_000
Carl Czerny,47_500
Carl Maria von Weber,123_000
Carl Philip Emmanuel Bach,3_120
Carlo Gesualdo,32_800
Charles Ives,194_000
Christoph Willibald Gluck,59_500
Claude Debussy,394_000
Claudio Monteverdi,134_000
Cristobal de Morales,20_500
César Franck,181_000
Dieterich Buxtehude,21_500
Dmitri Shostakovich,251_000
Dmytro Bortniansky,1_380
Domenico Scarlatti,596_000
Edvard Grieg,291_000
Einojuhani Rautavaara,49_000
Enrique Granados,61_200
Eugène Ysaÿe,43_900
Felix Mendelssohn,382_000
Francisco Guerrero,17_600
Franz Liszt,433_000
Franz Schubert,409_000
François Couperin,104_000
Frederic Chopin,250_000
Gabriel Fauré,254_000
Gaetano Donizetti,156_000
Georg Philipp Telemann,94_300
George Frideric Handel,284_000
Georges Bizet,194_000
Giacomo Puccini,282_000
Gilles Binchois,21_000
Gioachino Rossini,156_000
Giovanni Battista Pergolesi,56_000
Giovanni Gabrieli,44_100
Giovanni Pierluigi da Palestrina,52_300
Girolamo Frescobaldi,41_000
Giuseppe Torelli,16_000
Giuseppe Verdi,385_000
Guillaume Dufay,33_200
Gustav Mahler,388_000
Hans Werner Henze,67_800
Harrison Birtwistle,45_800
Hector Berlioz,252_000
Heinrich Ignaz Biber,2_150
Heinrich Isaac,16_800
Heinrich Schütz,80_700
Henry Purcell,224_000
Igor Stravinsky,396_000
Jacob Obrecht,11_300
Jacques Offenbach,113_000
Jean Sibelius,237_000
Jean-Baptiste Lully,66_700
Jean-Philippe Rameau,95_900
Johann Christian Bach,61_100
Johann Pachelbel,107_000
Johann Sebastian Bach,484_000
Johannes Brahms,417_000
Johannes Ockeghem,26_500
Johannes Tinctoris,6_820
John Cage,419_000
John Field (composer),44_700
John Taverner,18_500
Joseph Haydn,426_000
Josquin des Prez,46_800
Louis Vierne,28_700
Ludwig van Beethoven,494_000
Manuel de Falla,124_000
Maurice Ravel,366_000
Max Bruch,81_600
Modest Mussorgsky,113_000
Muzio Clementi,50_800
Niccolo Paganini,49_000
Nicolas Gombert,14_300
Nikolai Rimsky-Korsakov,104_000
Olivier Messiaen,183_000
Orlande de Lassus,37_400
Orlando Gibbons,42_300
Paul Hindemith,133_000
Pierre de La Rue,152_000
Pyotr Ilyich Tchaikovsky,195_000
Ralph Vaughan Williams,435_000
Richard Strauss,422_000
Richard Wagner,450_000
Robert Schumann,400_000
Sergei Prokofiev,175_000
Sergei Rachmaninoff,159_000
Thomas Tallis,103_000
Tomaso Albinoni,52_000
Tomás Luis de Victoria,63_300
Verdina Shlonsky,3_810
Antonio Vivaldi,372_000
William Byrd,111_000
Witold Lutosławski,73_900
Wolfgang Amadeus Mozart,8_410_000
